N°;MATRICULE;NOM;PRENOM;GRADE_FR;GRADE_EN;CATEGORIE_PROFESSIONNELLE;POSTE_DE_TRAVAIL_FR;POSTE_DE_TRAVAIL_EN;STRUCTURE_FR;STRUCTURE_EN;SERVICE_FR;SERVICE_EN;FAMILLE_METIER_FR;FAMILLE_METIER_EN;REGION_FR;REGION_EN;DEPARTEMENT_FR;DEPARTEMENT_EN;COMMUNE_FR;COMMUNE_EN;DATE_E_ADM;DATE_NAISSANCE;LIEU_NAISSANCE;SEXE;ETATCIVIL;TEL;EMAIL
11;MAT610723;Gomez;Margot;AGENT DECISIONNAIRE;Agent Decisionnaire;3/2;CHAUFFEUR;Chauffeur;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;SAG/CRIL2;Sag/Cril2;SAG/CRIL2;SAG/CRIL2;EXTREME-NORD;FAR NORTH;LOGONE ET CHARI;Logone Et Chari;GOULFEY;Goulfey;22/12/2020;06/02/1984;GOULFEY;M;MARIE(E);632267371;bodinhenriette@schmitt.com
12;MAT104929;Étienne;Susanne;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;630;CADRE D'APPUI;Cadre D'Appui;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;SAG/CRIC1;Sag/Cric1;SAG/CRIC1;SAG/CRIC1;EXTREME-NORD;FAR NORTH;LOGONE ET CHARI;Logone Et Chari;KOUSSERI;Kousseri;15/12/2011;01/01/1976;KOUSSERI;M;MARIE(E);628065677;martinparent@dbmail.com
13;MAT919708;Bonnin;Stéphanie;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;650;INSPECTEUR DES SERVICES ASSISTANT;Inspecteur Des Services Assistant;CENTRE REGIONAL DES IMPOTS DE L'EXTREME NORD;Centre Regional Des Impots De L'Extreme Nord;IRS/CRIEN;Irs/Crien;IRS/CRIEN;IRS/CRIEN;EXTREME-NORD;FAR NORTH;LOGONE ET CHARI;Logone Et Chari;KOUSSERI;Kousseri;28/01/2002;17/08/1969;;M;MARIE(E);641116938;chevalliernathalie@dbmail.com
14;MAT267198;Marty;Adélaïde;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1005;INSPECTEUR VERIFICATEUR;Inspecteur Verificateur;DIRECTION DES GRANDES ENTREPRISES;Direction Des Grandes Entreprises;BCV SERVICES/DGE;Bcv Services/Dge;BCV SERVICES/DGE;BCV SERVICES/DGE;EXTREME-NORD;FAR NORTH;LOGONE ET CHARI;Logone Et Chari;KOUSSERI;Kousseri;20/07/2015;15/07/1974;KOUSSERI;M;MARIE(E);627786597;edupont@morvan.fr
15;MAT283373;Lamy;Maryse;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1050;CADRE D'APPUI;Cadre D'Appui;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;SAG/CRIC2;Sag/Cric2;SAG/CRIC2;SAG/CRIC2;NORD-OUEST;NORTHWEST;MEZAM;Mezam;SANTA;Santa;20/06/2003;02/09/1976;BABA II;F;MARIE(E);604927652;lalves@hotmail.fr
16;MAT392332;Peron;Eugène;AGENT DECISIONNAIRE;Agent Decisionnaire;5/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU SUD OUEST;Centre Regional Des Impots Du Sud Ouest;CIME LIMBE;Cime Limbe;CIME LIMBE;CIME LIMBE;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;30/01/1977;YAOUNDE;F;CELIBATAIRE;698682866;franck46@antoine.fr
17;MAT723177;Daniel;Hortense;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1005;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;BRE/CRIC2;Bre/Cric2;BRE/CRIC2;BRE/CRIC2;CENTRE;CENTER;MFOUNDI;Mfoundi;YAOUNDE 1;Yaounde 1;28/08/2006;28/06/1978;OLOUNOU(Sangmelima);M;MARIE(E);648002882;vmaurice@free.fr
18;MAT520508;Gillet;Claudine;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;560;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIVISION DU CONTENTIEUX;Division Du Contentieux;DIVISION DU CONTENTIEUX;Division Du Contentieux;DIVISION DU CONTENTIEUX;DIVISION DU CONTENTIEUX;SUD-OUEST;SOUTHWEST;MANYU;Manyu;AKWAYA;Akwaya;08/12/2004;21/01/1980;YAOUNDE;M;MARIE(E);677998822;lambertchristelle@andre.com
19;MAT199393;Navarro;Sylvie;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/6;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE EXTÉRIEUR;Centre Régional Des Impôts Du Centre Extérieur;CDI OBALA;Cdi Obala;CDI OBALA;CDI OBALA;EST;EAST;HAUT-NYONG;Haut-Nyong;ABONG-BANG;Abong-Bang;01/01/2011;20/10/1987;Abong-Mbang;F;MARIE(E);693886481;uferrand@club-internet.fr
20;MAT742887;Hoarau;Joseph;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;270;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU NORD;Centre Regional Des Impots Du Nord;CDI BENOUE;Cdi Benoue;CDI BENOUE;CDI BENOUE;CENTRE;CENTER;NYONG ET MFOUMOU;Nyong Et Mfoumou;ENDOM;Endom;15/05/2023;21/01/1991;Yaoundé;M;CELIBATAIRE;678983932;ymace@letellier.com
21;MAT929995;Hardy;Pénélope;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;7/8;AGENT DE LA COMPTABILITÉ CAISSE;Agent De La Comptabilité Caisse;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;RRI/CRIC1;Rri/Cric1;RRI/CRIC1;RRI/CRIC1;SUD;SOUTH;MVILA;Mvila;NGOULEMAKONG;Ngoulemakong;01/01/2009;28/02/1974;;F;MARIE(E);673025803;mdescamps@fouquet.org
22;MAT928816;Lefebvre;Camille;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE EXTÉRIEUR;Centre Régional Des Impôts Du Centre Extérieur;CDI NYONG ET KELLE;Cdi Nyong Et Kelle;CDI NYONG ET KELLE;CDI NYONG ET KELLE;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;14/01/1966;Meba;F;MARIE(E);646529455;vleleu@poirier.com
23;MAT732098;Torres;Nath;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1115;Chef de Centre;Chef De Centre;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL EXTÉRIEUR;Centre Régional Des Impôts Du Littoral Extérieur;CDI MOUNGO;Cdi Moungo;CDI MOUNGO;CDI MOUNGO;CENTRE;CENTER;NYONG ET MFOUMOU;Nyong Et Mfoumou;AKONOLINGA;Akonolinga;29/11/2000;15/10/1969;AYOS;M;MARIE(E);694009778;samsonluc@girard.com
24;MAT346121;Joubert;Pauline;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;940;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CIME BONANJO;Cime Bonanjo;CIME BONANJO;CIME BONANJO;EXTREME-NORD;FAR NORTH;MAYO SAVA;Mayo Sava;MORA;Mora;20/06/2005;07/08/1976;Mora;M;MARIE(E);662720795;denis96@orange.fr
25;MAT289153;Noël;Éric;AGENT DECISIONNAIRE;Agent Decisionnaire;3/5;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DE L'ADAMAOUA;Centre Regional Des Impots De L'Adamaoua;CDI MAYO BANYO;Cdi Mayo Banyo;CDI MAYO BANYO;CDI MAYO BANYO;ADAMAOUA;ADAMAWA;MAYO BANY;Mayo Bany;BANYO;Banyo;26/12/2005;01/01/1972;MAYO-DJINGA;M;MARIE(E);666142506;anastasie17@robert.org
26;MAT995664;Torres;Christine;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;560;RECEVEUR DES IMPOTS;Receveur Des Impots;CENTRE REGIONAL DES IMPOTS DE L'OUEST;Centre Regional Des Impots De L'Ouest;CDI BAFOUSSAM;Cdi Bafoussam;CDI BAFOUSSAM;CDI BAFOUSSAM;EXTREME-NORD;FAR NORTH;MAYO TSANAGA;Mayo Tsanaga;MOKOLO;Mokolo;10/07/2012;17/10/1980;KOZA;M;CELIBATAIRE;628157759;robertcolin@bertin.fr
27;MAT827184;Lagarde;André;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;685;BILLETEUR;Billeteur;DIRECTION DES AFFAIRES GENERALES;Direction Des Affaires Generales;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;Sous-Direction Du Budget Et Du Materiel;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;;;;;NGAOUNDERE 1;Ngaoundere 1;12/11/1985;01/01/1961;;F;MARIE(E);676395246;lbreton@colin.com
28;MAT915753;Valette;Gilbert;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;870;INSPECTEUR VÉRIFICATEUR PI;Inspecteur Vérificateur Pi;CENTRE REGIONAL DES IMPOTS DE L'ADAMAOUA;Centre Regional Des Impots De L'Adamaoua;CIME NGAOUNDERE;Cime Ngaoundere;CIME NGAOUNDERE;CIME NGAOUNDERE;ADAMAOUA;ADAMAWA;VINA;Vina;NGAOUNDERE;Ngaoundere;12/02/2009;01/01/1981;NGAOUNDERE;M;MARIE(E);606477115;josette29@free.fr
29;MAT248315;Leroy;Guillaume;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;740;INSPECTEUR VÉRIFICATEUR;Inspecteur Vérificateur;DIRECTION DES GRANDES ENTREPRISES;Direction Des Grandes Entreprises;BCV BANQUES, ASSURANCES.../DGE;Bcv Banques, Assurances.../Dge;BCV BANQUES, ASSURANCES.../DGE;BCV BANQUES, ASSURANCES.../DGE;ADAMAOUA;ADAMAWA;VINA;Vina;BELE;Bele;19/06/2012;13/03/1986;NGAOUNDERE;M;CELIBATAIRE;602682880;michelle22@gimenez.fr
30;MAT278542;Jacques;Augustin;CADRE CONTRACTUEL EN GÉNIE INFORMATIQUE;Cadre Contractuel En Génie Informatique;10/8;CHARGÉ D'ETUDES ASSISTANT;Chargé D'Etudes Assistant;DIVISION DE L'INFORMATIQUE;Division De L'Informatique;CELLULE DE L'EXPLOITATION;Cellule De L'Exploitation;CELLULE DE L'EXPLOITATION;CELLULE DE L'EXPLOITATION;EXTREME-NORD;FAR NORTH;DIAMARE;Diamare;MAROUA;Maroua;03/10/2011;12/01/1977;Douala;M;MARIE(E);683728465;pgomez@dbmail.com
31;MAT662892;Guyot;Madeleine;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;RECEVEUR DES IMPOTS;Receveur Des Impots;CENTRE REGIONAL DES IMPOTS DE L'EXTREME NORD;Centre Regional Des Impots De L'Extreme Nord;CDI MAYO SAVA;Cdi Mayo Sava;CDI MAYO SAVA;CDI MAYO SAVA;EXTREME-NORD;FAR NORTH;MAYO SAVA;Mayo Sava;MORA;Mora;25/08/2009;22/02/1969;Maroua;M;CELIBATAIRE;662279594;alexandriajourdan@gauthier.fr
32;MAT209953;Petit;Alain;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;680;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;CIME KRIBI;Cime Kribi;CIME KRIBI;CIME KRIBI;EXTREME-NORD;FAR NORTH;DIAMARE;Diamare;MAROUA;Maroua;12/12/2016;02/12/1984;BALAZA;M;CELIBATAIRE;629369140;bodinsusanne@merle.org
33;MAT768776;Boutin;Aurélie;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1005;CHEF DE CENTRE.;Chef De Centre.;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL EXTÉRIEUR;Centre Régional Des Impôts Du Littoral Extérieur;CIME LITTORAL EXTÉRIEUR;Cime Littoral Extérieur;CIME LITTORAL EXTÉRIEUR;CIME LITTORAL EXTÉRIEUR;ADAMAOUA;ADAMAWA;VINA;Vina;BELE;Bele;23/01/2007;09/04/1978;MINIM;M;MARIE(E);699363074;wollivier@voila.fr
34;MAT968165;Prévost;Bertrand;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;INSPECTEUR VÉRIFICATEUR;Inspecteur Vérificateur;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CIME AKWA 1;Cime Akwa 1;CIME AKWA 1;CIME AKWA 1;EXTREME-NORD;FAR NORTH;MAYO DANAY;Mayo Danay;YAGOUA;Yagoua;19/11/2007;24/09/1977;YAGOUA;M;CELIBATAIRE;642854633;gillesguyot@yahoo.fr
35;MAT241676;Bertrand;Isabelle;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;940;CHEF DE CELLULE;Chef De Cellule;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;CCX/CRIS;Ccx/Cris;CCX/CRIS;CCX/CRIS;EXTREME-NORD;FAR NORTH;DIAMARE;Diamare;MAROUA;Maroua;01/01/2009;01/01/1982;GAYAK-MAROUA;M;MARIE(E);675926957;etiennefrancois@bouchet.fr
36;MAT764263;Fischer;Michel;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;870;Chef de Centre PI;Chef De Centre Pi;CENTRE REGIONAL DES IMPOTS DE L'EXTREME NORD;Centre Regional Des Impots De L'Extreme Nord;CDI MAYO KANI;Cdi Mayo Kani;CDI MAYO KANI;CDI MAYO KANI;EXTREME-NORD;FAR NORTH;MAYO-KANI;Mayo-Kani;GUIDIGUIS;Guidiguis;09/11/2009;10/08/1975;;M;MARIE(E);623585703;william88@ifrance.com
37;MAT104344;Lévy;Michelle;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;INSPECTEUR DES SERVICES ASSISTANT;Inspecteur Des Services Assistant;CENTRE REGIONAL DES IMPOTS DU NORD;Centre Regional Des Impots Du Nord;IRS/CRIN;Irs/Crin;IRS/CRIN;IRS/CRIN;NORD;NORTH;BENOUE;Benoue;GAROUA;Garoua;12/03/2003;04/07/1968;Garoua;M;MARIE(E);666156390;parentchantal@dbmail.com
38;MAT244294;Hernandez;Emmanuel;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;445;CHARGÉ D'ETUDES ASSISTANT;Chargé D'Etudes Assistant;CENTRE REGIONAL DES IMPOTS DE L'EXTREME NORD;Centre Regional Des Impots De L'Extreme Nord;CRPSCV/CRIEN;Crpscv/Crien;CRPSCV/CRIEN;CRPSCV/CRIEN;EXTREME-NORD;FAR NORTH;LOGONE ET CHARI;Logone Et Chari;KOUSSERI;Kousseri;12/12/2016;18/09/1986;KOUSSERI;M;CELIBATAIRE;601843246;fperrot@free.fr
39;MAT199147;Le Goff;Vincent;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;940;CHEF DE BRIGADE;Chef De Brigade;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;CIME KRIBI;Cime Kribi;CIME KRIBI;CIME KRIBI;ADAMAOUA;ADAMAWA;VINA;Vina;BELE;Bele;20/06/2005;10/12/1978;NGAOUNDERE;M;MARIE(E);668160264;madeleine46@bertin.net
40;MAT200568;Hubert;Jeannine;AGENT DECISIONNAIRE;Agent Decisionnaire;3/8;VIGILE;Vigile;DIRECTION DES AFFAIRES GENERALES;Direction Des Affaires Generales;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;Sous-Direction Du Budget Et Du Materiel;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;EXTREME-NORD;FAR NORTH;DIAMARE;Diamare;MERI;Meri;01/01/2009;31/03/1979;;M;MARIE(E);606061366;perrinbernard@bouygtel.fr
41;MAT407771;Pierre;Gilbert;AGENT DECISIONNAIRE;Agent Decisionnaire;3/3;CHAUFFEUR;Chauffeur;CABINET;Cabinet;CABINET;Cabinet;CABINET;CABINET;NORD;NORTH;MAYO-LOUTI;Mayo-Louti;FIGUIL;Figuil;07/03/2019;10/12/1987;OUROGUERTODE-HINA;M;MARIE(E);654354062;anaispons@sfr.fr
42;MAT354046;Pages;Richard;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;560;FONDÉ DE POUVOIR;Fondé De Pouvoir;CENTRE REGIONAL DES IMPOTS DE L'EXTREME NORD;Centre Regional Des Impots De L'Extreme Nord;RRI/CRIEN;Rri/Crien;RRI/CRIEN;RRI/CRIEN;ADAMAOUA;ADAMAWA;VINA;Vina;BELE;Bele;22/01/2002;03/02/1971;NGAOUNDERE;M;MARIE(E);619182911;renee46@wanadoo.fr
43;MAT318844;Denis;Camille;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;740;CHARGÉ D'ETUDES;Chargé D'Etudes;SERVICES DU PREMIER MINISTRE;Services Du Premier Ministre;SERVICES DU PREMIER MINISTRE;Services Du Premier Ministre;SERVICES DU PREMIER MINISTRE;SERVICES DU PREMIER MINISTRE;;;;;GALIM-TIGNERE;Galim-Tignere;28/01/2002;01/01/1968;;M;CELIBATAIRE;615209879;xmarie@raymond.net
44;MAT602684;Besnard;Maryse;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/7;CHEF DE BRIGADE RECOUVREMENT;Chef De Brigade Recouvrement;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CDI1/CRIL1;Cdi1/Cril1;CDI1/CRIL1;CDI1/CRIL1;ADAMAOUA;ADAMAWA;VINA;Vina;MBE;Mbe;01/12/2011;13/12/1982;;M;MARIE(E);629878677;nmorin@noos.fr
45;MAT350704;Regnier;Noémi;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;CHEF DE CELLULE DE GESTION;Chef De Cellule De Gestion;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CSPLI WOURI;Cspli Wouri;CSPLI WOURI;CSPLI WOURI;NORD;NORTH;BENOUE;Benoue;GAROUA;Garoua;14/06/2004;13/08/1977;GAROUA 1;M;MARIE(E);672713796;adelaidevallee@tiscali.fr
46;MAT749678;Sanchez;Antoine;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;CHEF DE SERVICE DE L'ARCHIVAGE;Chef De Service De L'Archivage;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE EXTÉRIEUR;Centre Régional Des Impôts Du Centre Extérieur;CIME CENTRE EXTÉRIEUR;Cime Centre Extérieur;CIME CENTRE EXTÉRIEUR;CIME CENTRE EXTÉRIEUR;CENTRE;CENTER;LEKIE;Lekie;OBALA;Obala;01/01/2009;23/05/1979;YAOUNDE;M;MARIE(E);646796196;luce06@yahoo.fr
47;MAT444393;Hamon;Aurélie;AGENT CONTRACTUEL D'ADMINISTRATION;Agent Contractuel D'Administration;8/8;CHEF D'ANTENNE;Chef D'Antenne;CENTRE REGIONAL DES IMPOTS DE L'EST;Centre Regional Des Impots De L'Est;CDI LOM ET DJEREM;Cdi Lom Et Djerem;CDI LOM ET DJEREM;CDI LOM ET DJEREM;CENTRE;CENTER;MEFOU ET AKONO;Mefou Et Akono;NGOUMOU;Ngoumou;01/01/2009;03/03/1978;AKONO;M;CELIBATAIRE;658894758;duvalvictor@lagarde.fr
48;MAT496101;Lemaître;Robert;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;7/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CDI1/CRIC1;Cdi1/Cric1;CDI1/CRIC1;CDI1/CRIC1;CENTRE;CENTER;MEFOU ET AKONO;Mefou Et Akono;NGOUMOU;Ngoumou;01/01/2009;19/06/1972;Otelé;F;MARIE(E);613705247;thomasleger@tele2.fr
49;MAT624198;Moreno;Grégoire;AGENT DECISIONNAIRE;Agent Decisionnaire;5/8;AGENT DE  LIAISON;Agent De  Liaison;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CAB/CRIC2;Cab/Cric2;CAB/CRIC2;CAB/CRIC2;CENTRE;CENTER;MEFOU ET AKONO;Mefou Et Akono;NGOUMOU;Ngoumou;01/01/2009;28/11/1977;Mbalmayo;M;MARIE(E);658851933;lecontehonore@paul.org
